2.740866344649872666e-13,1.634879011319737901e-22,5.509000807618624762e-12,2.200831322740626206e-10,3.904681679728496825e-18,3.627050004935587573e-17,1.809608343626385828e-18,2.249119300360997303e-14,2.902199867094168440e-07,9.997091293334960938e-01,6.480718569076454884e-21,3.048924148360869996e-19,2.906530571635812521e-04,4.790599146807996165e-18,4.814637022398926547e-10,1.562389032440467812e-14,1.448692096392054617e-16,9.058895994451532374e-12,3.299899278577477077e-16,5.126907441869146737e-20
1.792086071824173371e-14,6.472776645648826309e-23,4.120469970000234516e-13,3.417303245933922540e-11,3.658310483772946574e-18,3.709080348229613753e-18,6.320025907326186151e-19,8.625951659568483788e-16,2.225297102143031225e-08,9.999524950981140137e-01,3.510931355374029909e-21,2.223426331366504886e-19,4.745365731650963426e-05,2.521165650156751295e-18,5.673941524952930138e-11,1.882313884838185403e-15,2.025984357568568817e-17,2.459709736238324673e-12,4.240399135187737254e-17,5.707051856952919811e-20
2.019577437413228732e-14,8.995349978887712953e-23,4.877790337441678670e-13,4.053695920602784497e-11,4.574223174224843804e-18,4.787495151559390929e-18,7.006481901180747147e-19,9.461196025779372402e-16,2.177958791094170010e-08,9.999535679817199707e-01,4.006280468045097763e-21,2.292214671106414668e-19,4.629250906873494387e-05,3.204329154980621533e-18,5.166326047523206455e-11,2.831582226518422098e-15,2.401214990118548550e-17,2.240439170991814777e-12,4.572812583126257126e-17,8.218695960325543916e-20
2.275947205492793307e-14,1.250102322922964652e-22,5.774292177219975120e-13,4.808603168426905938e-11,5.719449355630529025e-18,6.179436222465142185e-18,7.767468419189984473e-19,1.037731933295883788e-15,2.131627496737564798e-08,9.999547600746154785e-01,4.571483529417848302e-21,2.363131449959999959e-19,4.515986074693500996e-05,4.072627054627281969e-18,4.704124589860469996e-11,4.259576225811370631e-15,2.845942029012783455e-17,2.040712217266094086e-12,4.931285198210402559e-17,1.183561427454754870e-19
2.564860826438815355e-14,1.737292846785619550e-22,6.835563473757411135e-13,5.704082692292722356e-11,7.151399911994551399e-18,7.976075821652768507e-18,8.611139394242139600e-19,1.138219051718687268e-15,2.086273909185365483e-08,9.999558329582214355e-01,5.216463879565433544e-21,2.436232761112549511e-19,4.405475556268356740e-05,5.176192284481733952e-18,4.283265062077212804e-11,6.407720389717003889e-15,3.373036073710353622e-17,1.858789814776495852e-12,5.317858462191954428e-17,1.704434215746040746e-19
2.890449788154822452e-14,2.414351588244405818e-22,8.091888704236938068e-13,6.766335408636692250e-11,8.941859644825794052e-18,1.029508080484824436e-17,9.546446988516567670e-19,1.248436778760429744e-15,2.041893054638421745e-08,9.999569058418273926e-01,5.952397342486555773e-21,2.511614505816331191e-19,4.297685518395155668e-05,6.578792404760843522e-18,3.900065687068021703e-11,9.639194282172469652e-15,3.997752650812452031e-17,1.693082306297721829e-12,5.734735984222753997e-17,2.454537751080465168e-19
3.257369891938692585e-14,3.355273573991309530e-22,9.579134360726548891e-13,8.026392744886479136e-11,1.118058923111483623e-17,1.328837447207550901e-17,1.058334270177016445e-18,1.369322038739892878e-15,1.998452248130888620e-08,9.999579787254333496e-01,6.792207807458789100e-21,2.589308995814022853e-19,4.192525011603720486e-05,8.361489047543276009e-18,3.551148958225169849e-11,1.450038412910067964e-14,4.738190472121738927e-17,1.542152907110794224e-12,6.184293427022053563e-17,3.534740246810334290e-19
3.670867321052539989e-14,4.662910615066791039e-22,1.133972906894320509e-12,9.521120697408846922e-11,1.397981722765042251e-17,1.715196885000757813e-17,1.173286215735015302e-18,1.501918164489857155e-15,1.955935680086895445e-08,9.999590516090393066e-01,7.750474736675164110e-21,2.669427125006494885e-19,4.089945286978036165e-05,1.062725420497300134e-17,3.233447190553739858e-11,2.181306520230175822e-14,5.615724546411074588e-17,1.404675312698111522e-12,6.669092072638562320e-17,5.090361439183817572e-19
4.136854704281378581e-14,6.480116459946492274e-22,1.342386054745126067e-12,1.129418572554108380e-10,1.747987317099094893e-17,2.213881742432439266e-17,1.300713906086692061e-18,1.647347792302789743e-15,1.914323632945524878e-08,9.999600648880004883e-01,8.843938036223509313e-21,2.752003273087956524e-19,3.989860124420374632e-05,1.350698755462531104e-17,2.944163315921066726e-11,3.281359559070828880e-14,6.655806890256470653e-17,1.279453431222987714e-12,7.191896027807187465e-17,7.330547483736412490e-19
4.661995819227847393e-14,9.005550265936582724e-22,1.589109269520272427e-12,1.339746369399819059e-10,2.185621943985177628e-17,2.857556306557518006e-17,1.441991908614956716e-18,1.806865907369166295e-15,1.873596744417227455e-08,9.999610185623168945e-01,1.009166971221942723e-20,2.837155054801755152e-19,3.892230961355380714e-05,1.716699210429276621e-17,2.680765505413962302e-11,4.936179029001348806e-14,7.888521069919745676e-17,1.165394495315774659e-12,7.755681819244139813e-17,1.055664234557271841e-18
